Start Date,End Date,Event Name,Start Time,End Time,Venue,Day,Price ($),Event Description,RVSP Link,Partner,Webpage Link,Image
2014-05-21,,LA Music Tech Hack Night,6:00 PM,10:00 PM,GA,Wednesday,Free,,*note: need AF tracking link/code,,http://www.meetup.com/LA-Music-Tech-Hackers/events/179089362/,*note: must determine how to get image(s) - event/partner/etc
2014-05-22,,Net Gain: Making Money with Your Online Content,7:30pm - 9:00pm,,GA,Thursday,$35.00 ,,,,https://generalassemb.ly/education/net-gain-making-money-with-your-online-content/los-angeles/5535,
2014-05-23,,DTLA Beta Launch Party,6:00pm - 9:00pm,,GA,Friday,Free,,,,https://generalassemb.ly/education/dtla-beta-launch-party/los-angeles/5743,
2014-05-27,,The Art of Sales,7:30pm - 9:00pm,,,Tuesday,$35.00 ,,,,https://generalassemb.ly/education/the-art-of-sales/los-angeles/5231,
2014-05-27,,How to Teach New Developers & Designers,7:00 - 8:30pm,,,Tuesday,Free,,,,https://generalassemb.ly/education/how-to-teach-new-developers-designers/los-angeles/5823,
2014-05-28,,Running a Startup Without a Technical Founder,7:00pm - 9:30pm,,,Wednesday,$45.00 ,,,,https://generalassemb.ly/education/running-a-startup-without-a-technical-founder/los-angeles/5201,
2014-05-28,,Meet & Hire: Discover new UX designer talent!,6:30pm - 9:30pm,,,Wednesday,Free,,,,https://generalassemb.ly/education/meet-hire-discover-new-ux-designer-talent/los-angeles/5540,
2014-05-29,,Capital Idea: Getting Started with Crowdfunding,7:00pm - 10:00pm,,,Thursday,$40.00 ,,,,https://generalassemb.ly/education/crowdfunding-101/los-angeles/5405,
2014-05-29,,Sitemaps & Process Flows,7:30pm - 9:00pm,,,Thursday,$35.00 ,,,,https://generalassemb.ly/education/sitemaps-process-flows/los-angeles/5409,
2014-05-29,,TechZulu Tech Crawl,6:00pm - 11:00pm,,,Thursday,$20.00 ,,http://www.eventbrite.com/e/tz-tech-crawl-silicon-beach-santa-monica-tickets-11488148361?aff=efbbt,,https://generalassemb.ly/education/techzulu-tech-crawl/los-angeles/5872,
2014-05-30,,DTLA Beta Launch Party,6:00pm - 9:00pm,,,Friday,Free,,,,https://generalassemb.ly/education/dtla-beta-launch-party/los-angeles/5743,
2014-06-03,,"Fireside Chat with Scott Lamb, Buzzfeed",7:00pm - 9:00pm,,,Tuesday,Free,,,,https://generalassemb.ly/education/fireside-chat-with-scott-lamb-vp-of-international-at-buzzfeed/los-angeles/5782,
2014-06-04,,How to Hack Growth Hacking,7:00pm - 9:00pm,,,Wednesday,$45.00 ,,,,https://generalassemb.ly/education/how-to-hack-growth-hacking/los-angeles/5198,
2014-06-05,,Women in Technology: Empowering Women With Their Finances,6:00pm - 8:00pm,,,Thursday,Free,,,,http://www.eventbrite.com/e/lesbians-who-tech-women-in-technology-empowering-women-with-their-finances-tickets-11528589321?aff=es2&rank=3&sid=14d05142d59f11e3a70022000a9f4d4e,
2014-06-05,,Picture Perfect: Using Photoshop for Digital Marketing,7:30pm - 9:00pm,,,Thursday,$35.00 ,,,,https://generalassemb.ly/education/picture-perfect-using-photoshop-for-digital-marketing/los-angeles/5425,
2014-06-06,,"""The Empowerment Project"" Film Screening",7:00pm - 9:00pm,,,Friday,Free,,,,https://generalassemb.ly/education/the-empowerment-project-film-screening/los-angeles/5582,
2014-06-06,,DTLA Beta Launch Party,6:00pm - 9:00pm,,,Friday,Free,,,,https://generalassemb.ly/education/dtla-beta-launch-party/los-angeles/5743,
2014-06-10,,Talk Like a Programmer,7:30pm - 9:00pm,,,Tuesday,$35.00 ,,,,https://generalassemb.ly/education/talk-like-a-programmer/los-angeles/5239,
2014-06-13,,"Tribemint ""Vision"" Launch Party",6:30pm - 9:30pm,,,Friday ,Free,,,,,
2014-06-17,,"Fireside Chat with Julian Nachtigal, Good Eggs",7:00pm - 9:00pm,,,Tuesday,Free,,,,,
2014-06-18,,Women in LAVA lunch workshop,11:30am - 2:00pm,,,Tuesday,Free,,,,https://generalassemb.ly/education/women-in-lava-lunch-workshop/los-angeles/5580,
2014-06-19,,Silicon Beach Fest Party,9:00pm - 11:00pm,,,Thursday,Free,,,,https://www.eventbrite.com/e/silicon-beach-fest-june-2014-registration-tickets-11636542211,
2014-06-20,,Silicon Beach Fest Panels,10:00am - 6:00pm,,,Friday,N/A,,,,https://www.eventbrite.com/e/silicon-beach-fest-june-2014-registration-tickets-11636542211,
2014-06-20,,Silicon Beach Fest Panels,10:00am - 6:00pm,,,Friday,N/A,,,,https://www.eventbrite.com/e/silicon-beach-fest-june-2014-registration-tickets-11636542211,
2014-06-20,,Silicon Beach Fest Panels,10:00am - 6:00pm,,,Friday,N/A,,,,https://www.eventbrite.com/e/silicon-beach-fest-june-2014-registration-tickets-11636542211,
2014-06-20,,Silicon Beach Fest Panels,10:00am - 6:00pm,,,Friday,N/A,,,,https://www.eventbrite.com/e/silicon-beach-fest-june-2014-registration-tickets-11636542211,
2014-06-21,,The Unmistakable Creative,6:00pm - 8:30pm,,,Saturday,N/A,,,,https://generalassemb.ly/education/the-unmistakable-salon-with-justine-musk/los-angeles/5754,
2014-06-22,,"Type Ed - ""Type 1"" Workshop",11:00am - 2:00pm,,,Sunday,Free,,,,http://type-ed.com/events/type-1-basics062214/,
2014-06-22,,"Type Ed - ""Type 2"" Workshop",3:30pm - 6:30pm,,,Sunday,Free,,,,http://type-ed.com/events/type-2-the-necessities062214/,
2014-06-22,,Show and Sell: Crowdfunding Video Production Workshop,10:00am - 4:00pm,,,Sunday,$500.00 ,,,,https://generalassemb.ly/education/show-and-sell-crowdfunding-video-production-workshop/los-angeles/5854,
2014-06-28,,Tribemint Vision Workshop,9:00am - 12:00pm,,,Saturday,N/A,,,,,
2014-06-30,,Getting Started with HTML,7:30pm - 9:00pm,,,Monday,$35.00 ,,,,https://generalassemb.ly/education/getting-started-with-html/los-angeles/4367,
2014-07-11,,GA Community Happy Hour,6:30pm - 8:30pm,,,Friday,Free,,,,,
2014-07-18,,GA Community Happy Hour,6:30pm - 8:30pm,,,Friday,Free,,,,,
2014-07-25,,GA Community Happy Hour,6:30pm - 8:30pm,,,Friday,Free,,,,,
