id,Event Name,format,starts,campus_name,address,city,state,zip_code
6321,Causathon.Hack (forACause),workshop series,2014-07-27 01:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6321,Causathon.Hack (forACause),workshop series,2014-07-27 07:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6511,DTLA Community Night,education,2014-07-29 01:30:00,The Hub LA,"830 Traction Avenue, 3rd Floor",Los Angeles,CA,90013
6029,Product Management,education,2014-07-29 02:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6035,Front-End Web Development,education,2014-07-29 02:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6545,Meet and Hire Junior Developers *Downtown Location,education,2014-07-30 01:30:00,The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
6457,Essentials of Startup Law,class,2014-07-30 02:00:00,Indie Desk,816 S. Broadway,Los Angeles,CA,90014
6567,Talk Like A Programmer,class,2014-07-30 02:30:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6549,Intro to Front-End Web Development,class,2014-08-01 02:00:00,The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
6793,Build A Web App In 90 Mins,class,2014-08-01 02:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6636,GA Community Happy Hour,education,2014-08-02 01:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
4422,Inbox Zero: Mastering Your Gmail Account,class,2014-08-02 17:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6297,UX Career Fair,education,2014-08-03 16:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6327,Big Data Demystified: Machine Learning Algorithms,workshop,2014-08-03 17:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
5226,Web Development Immersive,immersive,2014-08-04 16:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6031,Digital Marketing,education,2014-08-06 02:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6746,Intro to Adobe Photoshop,workshop,2014-08-06 02:00:00,The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
6656,True + Paid + Good House Party,education,2014-08-07 02:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6038,Back-End Web Development,education,2014-08-09 17:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6607,Selling Through Social Media,class,2014-08-09 17:30:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6486,Be Careful What You Fish For: Carapace Wetsuits Presents Shark Week Premiere Party,education,2014-08-09 20:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6527,DTLA Community Night,education,2014-08-19 01:30:00,The Hub LA,"830 Traction Avenue, 3rd Floor",Los Angeles,CA,90013
6645,The Art of Sales,class,2014-08-19 02:30:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6032,User Experience Design,education,2014-08-20 02:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6748,Introduction to Python Programming,workshop,2014-08-21 02:00:00,The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
6546,Net Gain: Making Money with Your Online Content,class,2014-08-21 02:30:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6612,HTML & CSS Basics,class,2014-08-26 02:00:00,The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
6608,Get the Picture: Intro to Data Visualization Tools with Microsoft Excel,class,2014-08-26 02:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6548,Meet + Hire UX Designers,education,2014-08-28 01:30:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6637,GA Community Happy Hour,education,2014-08-30 01:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
5824,User Experience Design Immersive,immersive,2014-09-02 16:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6528,DTLA Community Night,education,2014-09-04 01:30:00,The Hub LA,"830 Traction Avenue, 3rd Floor",Los Angeles,CA,90013
6523,Business Strategy: Understanding Partnerships and Alliances,workshop,2014-09-04 02:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6036,Front-End Web Development,education,2014-09-06 17:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6245,Back-End Web Development,education,2014-09-09 02:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6034,Digital Marketing,education,2014-09-09 02:00:00,HUB LA,830 Traction Ave. Suite 3A,Los Angeles,CA,90013
6745,See It Through: Using Illustrator for Sitemaps and Wireframes,class,2014-09-10 02:00:00,The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
6246,Front-End Web Development,education,2014-09-10 02:00:00,The Hub LA,"830 Traction Avenue, 3rd Floor",Los Angeles,CA,90013
6030,Data Science,education,2014-09-17 02:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6170,SQL Bootcamp,workshop,2014-09-20 16:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6437,User Experience Design,education,2014-09-20 17:00:00,The Hub LA,"830 Traction Avenue, 3rd Floor",Los Angeles,CA,90013
6255,Web Development Immersive,immersive,2014-09-22 16:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6544,Launch your Crowdfunding Video With Your iPhone or Smartphone,workshop,2014-09-27 17:00:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
