id,title,format,Event URL,starts,campus_name,address,city,region,postal_code
6638,GA Community Happy Hour,event,https://generalassemb.ly/education/ga-community-happy-hour/los-angeles/6638,10/18/14 1:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
7951,Launch An E-Commerce Site in One Day,workshop,https://generalassemb.ly/education/launch-an-e-commerce-site-in-one-day/los-angeles/7951,10/18/14 16:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
7883,Drone  Flying 101,workshop,https://generalassemb.ly/education/drone-flying-101/los-angeles/7883,10/18/14 17:00,rhubarb studios,633 W. 5th Street #1450 ,Los Angeles,CA,90071
7863,Agile Tools Startup Workshop,class,https://generalassemb.ly/education/agile-tools-startup-workshop/los-angeles/7863,10/21/14 2:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
7853,Meet + Hire Junior Developers *Santa Monica location,event,https://generalassemb.ly/education/meet-hire-junior-developers-santa-monica-location/los-angeles/7853,10/23/14 1:30,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
7999,Online Marketing Analytics,class,https://generalassemb.ly/education/online-marketing-analytics/los-angeles/7999,10/23/14 2:00,The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
7849,Professional Networking Strategies for Non-Networkers,workshop,https://generalassemb.ly/education/professional-networking-strategies-for-non-networkers/los-angeles/7849,10/23/14 2:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
7813,At the Helm: Women in Biz 2014,event,https://generalassemb.ly/education/at-the-helm-women-in-biz-2014/los-angeles/7813,10/25/14 17:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
7950,Meet and Hire Junior Developers *Downtown Location,event,https://generalassemb.ly/education/meet-and-hire-junior-developers-downtown-location/los-angeles/7950,10/29/14 1:30,The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
8024,Running a Startup Without a Technical Founder,class,https://generalassemb.ly/education/running-a-startup-without-a-technical-founder/los-angeles/8024,11/12/14 3:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
8000,Make your Startup Insanely Popular: Building an Online Community,class,https://generalassemb.ly/education/make-your-startup-insanely-popular-building-an-online-community/los-angeles/8000,11/13/14 3:00,The Unique Space,1275 E. 6th Street ,Los Angeles,CA,90021
8027,Facebook Advertising Secrets That Can Change Your Business Overnight,class,https://generalassemb.ly/education/facebook-advertising-secrets-that-can-change-your-business-overnight/los-angeles/8027,11/14/14 3:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6639,GA Community Happy Hour,event,https://generalassemb.ly/education/ga-community-happy-hour/los-angeles/6639,11/22/14 2:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
6640,GA Community Happy Hour,event,https://generalassemb.ly/education/ga-community-happy-hour/los-angeles/6640,12/20/14 2:00,GA Los Angeles,1520 2nd Street,Santa Monica,CA,90401
